relatives1,relatives2,bank1,bank2,bank3,bank4,subject1,subject2,digital
父親,祖父,台銀,華僑銀行,台北商銀,南縣漁會,老闆,校長,Bankee
母親,祖母,臺銀,上海銀行,交通銀行,彌陀漁會,房東,副校長,bankee
老公,伯伯,土銀,高雄銀行,中央信託,新港漁會,樓主,會長,iLEO
老婆,伯父,一銀,高銀,農業金庫,雲林漁會,店主,副會長,ileo
爸爸,伯母,華南,花旗銀行,運通銀行,永安漁會,地主,教務,Richart
媽媽,叔叔,華銀,台灣銀行,首都銀行,東港漁會,雇主,總務,richart
哥哥,叔父,海銀,土地銀行,荷蘭銀行,澎湖區漁會,台電,主任,Dawho
弟弟,叔母,花旗,第一銀行,中華開發,嘉義漁會,台水,副主任,dawho
姊姊,嬸嬸,匯豐,華南銀行,新竹商銀,興達港漁會,老師,院長,NewNew
姐姐,兄弟,渣打,彰化銀行,京城商銀,琉球區漁會,鋼琴老師,副院長,newnew
妹妹,嫂嫂,聯邦,彰銀,台東企銀,南市區漁會,音樂老師,組長,KOKO
兒子,堂哥,玉山,匯豐銀行,東亞銀行,林園區漁會,美術老師,副組長,koko
女兒,堂兄,台新,渣打銀行,標旗銀行,林邊區漁會,畫畫老師,舍監,Clould Bank
,堂姊,台北富邦,陽信銀行,華泰銀行,永靖農會,心算老師,教官,cloud bank
,堂姐,北富銀,陽信,第七商銀,秀水農會,書法老師,教授,SnY
,堂弟,富邦,板信銀行,中華銀行,四湖農會,插花老師,學員,sny
,堂妹,國泰世華,板信,復華銀行,大埤農會,學校,董事長,O-Bank
,表哥,國泰,三信銀行,建華銀行,二崙農會,學校老師,財務長,O-bank
,表兄,兆豐,三信,萬泰銀行,六腳農會,補習班,會計,o-bank
,表姊,新光,遠東銀行,寶華銀行,朴子農會,補習班老師,主管,obank
,表姐,合庫,遠東,大眾銀行,太保農會,安親班,老總,OU
,表弟,郵局,聯邦銀行,慶豐銀行,鹿草農會,安親班老師,總經理,ou
,表妹,中國信託,玉山銀行,淡水一信,大埔農會,幼兒園,副總,雄Hoyaa
,侄子,中信,台新銀行,新竹一信,歸仁農會,幼兒園老師,執行長,雄hoyaa
,侄兒,元大,日盛銀行,彰化六信,六甲農會,家教,股東,e財寶
,侄女,王道,日盛,嘉義四信,鳳山市農會,家教老師,處長,E財寶
,孫子,,台北富邦銀行,花蓮一信,阿蓮農會,教練,部長,
,孫兒,,國泰世華銀行,金門信合社,仁武農會,健身教練,廠長,
,孫女,,國泰世華,基隆一信,大社農會,社長,科長,
,公公,,臺灣企銀,淡水信合社,田寮農會,副社長,課長,
,婆婆,,花蓮企銀,新竹三信,鳥松農會,團長,總監,
,姑母,,兆豐商銀,彰化十信,恒春農會,副團長,顧問,
,姑丈,,台中商銀,台南三信,滿州農會,班長,成吉思汗,
,外祖父,,台中銀行,花蓮二信,富里鄉農會,副班長,健身工廠,
,外祖母,,臺灣新光商銀,台北五信,太麻里農會,助教,健工,
,舅父,,新光銀行,基隆二信,東河農會,助理,300壯士,
,舅母,,合庫商銀,宜蘭信合社,澎湖農會,秘書,world gym,
,阿姨,,中華郵政,竹南信合社,二林農會,同事,館長,
,姨母,,中國信託,彰化一信,埔心農會,教學助理,會員,
,姨丈,,安泰銀行,鹿港信合社,口湖農會,,工讀生,
,岳父,,安泰,高雄二信,莿桐農會,,工讀,
,岳母,,王道銀行,澎湖一信,褒忠農會,,,
,親家,,永豐銀行,台北一信,水上鄉農會,,,
,親家翁,,元大銀行,台北九信,民雄農會,,,
,親家公,,上海商銀,桃園信合社,溪口農會,,,
,親家母,,,台中二信,竹崎農會,,,
,姊夫,,,彰化五信,善化鎮農會,,,
,姐夫,,,嘉義三信,西港農會,,,
,妹夫,,,高雄三信,北門農會,,,
,表兄,,,澎湖二信,梓官農會,,,
,表嫂,,,,林園農會,,,
,弟媳,,,,大寮農會,,,
,弟妹,,,,橋頭農會,,,
,大伯,,,,燕巢農會,,,
,小叔,,,,新埤農會,,,
,,,,,枋山農會,,,
,,,,,東港鎮農會,,,
,,,,,壽豐農會,,,
,,,,,台東農會,,,
,,,,,成功農會,,,
,,,,,台中市農會,,,
,,,,,高雄市農會,,,
,,,,,員林農會,,,
,,,,,埤頭鄉農會,,,
,,,,,斗六農會,,,
,,,,,西螺農會,,,
,,,,,虎尾農會,,,
,,,,,布袋鎮農會,,,
,,,,,東石農會,,,
,,,,,新港農會,,,
,,,,,大林農會,,,
,,,,,佳里鎮農會,,,
,,,,,永康農會,,,
,,,,,鹽水農會,,,
,,,,,永安農會,,,
,,,,,湖內農會,,,
,,,,,路竹農會,,,
,,,,,彌陀農會,,,
,,,,,甲仙農會,,,
,,,,,里港鄉農會,,,
,,,,,南州農會,,,
,,,,,崁頂鄉農會,,,
,,,,,吉安農會,,,
,,,,,關山農會,,,
,,,,,池上農會,,,
,,,,,連江縣農會,,,
,,,,,名間農會,,,
,,,,,竹塘農會,,,
,,,,,崙背鄉農會,,,
,,,,,台西農會,,,
,,,,,古坑農會,,,
,,,,,斗南農會,,,
,,,,,梅山農會,,,
,,,,,嘉義農會,,,
,,,,,番路農會,,,
,,,,,義竹農會,,,
,,,,,新營農會,,,
,,,,,將軍農會,,,
,,,,,玉井農會,,,
,,,,,杉林農會,,,
,,,,,旗山農會,,,
,,,,,岡山農會,,,
,,,,,茄萣農會,,,
,,,,,美濃農會,,,
,,,,,麟洛農會,,,
,,,,,琉球農會,,,
,,,,,九如鄉農會,,,
,,,,,新秀農會,,,
,,,,,鹿野農會,,,
,,,,,長濱農會,,,
